Time[s],Speed[m/s],X[m],Z[m],Y[m]
189.114336,2.74339783,62.45045017,40.91973301,-3.976828673
190.1329708,2.717042304,59.7441612,39.45195997,-3.987854304
191.1144171,2.68771472,56.78949973,39.11837519,-3.995422246
192.0991602,2.650556469,53.39806063,38.91822433,-3.999615324
192.9969852,2.608701546,50.37488203,38.99606077,-4.000180949
193.9916117,2.553479548,47.32600022,40.78629909,-3.996922461
194.976856,2.489257516,45.5617541,42.86564422,-3.989499893
195.5059967,2.450044871,45.34764503,43.38826038,-3.983764396
195.9905825,2.410376204,44.55116076,45.12290123,-3.97744779
196.9901061,2.313356725,43.51487463,47.50247266,-3.961327934
197.9866507,2.188804797,42.90680413,49.270472,-3.941472301
198.9971058,2.026381086,42.5642242,51.19414423,-3.918274306
199.9952745,1.828442964,42.64985565,53.15117494,-3.893485833
200.9896991,1.602954959,43.08662518,54.24088522,-3.868331874
202.0698957,1.35184331,43.16369661,55.41955144,-3.842018116
202.9897723,1.165953124,43.12943409,56.42030578,-3.821195657
204.0542743,1.03373803,42.87250141,57.48777707,-3.798641525
205.0531356,1.043202764,42.88106514,57.57673302,-3.777378352
205.4309969,1.090697841,42.87250086,57.58785251,-3.768786407
205.9873631,1.210907949,42.35864386,58.24390258,-3.754762297
206.9895401,1.589453639,41.27954414,59.67831713,-3.722385109
207.9894047,2.17162338,39.32689345,61.31288255,-3.675439827
208.9790168,2.911687898,37.5455263,63.28103275,-3.606213566
209.9747601,3.745808988,35.05332504,66.3944907,-3.503747173
211.0927949,4.663402623,30.40294153,70.36414958,-3.336899262
212.038965,5.317613603,22.65231461,76.43539258,-3.145200533
213.0510151,5.808908172,16.06643698,79.40429712,-2.888482686
213.9905846,6.037767865,10.54252606,81.36132783,-2.610220657
214.9911833,6.052063296,4.761692554,82.6178305,-2.288873416
216.0948155,5.861787352,-0.813598337,84.60821968,-1.929862575
217.0925484,5.594107812,-5.986369929,85.88696134,-1.62094559
217.9849021,5.348550961,-10.38836347,86.58748938,-1.366969188
219.0123742,5.117965949,-15.11580104,84.4303078,-1.104455182
220.1298594,4.96191712,-19.48354955,80.4940074,-0.854557693
220.9942207,4.900558326,-24.63920602,77.52510286,-0.684966894
221.9834499,4.862565832,-29.06690419,75.85717896,-0.51423287
222.9978023,4.819875289,-34.01702037,74.278211,-0.363571039
223.9988749,4.74598404,-39.0270852,73.25521767,-0.237311045
225.0065136,4.637337317,-43.73740483,72.10990993,-0.129976616
225.9745426,4.523722463,-48.19936619,70.58653943,-0.041962027
226.9968655,4.435788474,-51.07696709,66.5501636,0.039441487
228.0053282,4.423831888,-53.00394484,62.22468095,0.112826256
228.9747114,4.506554958,-53.83470331,58.03263222,0.181136518
229.9830554,4.689225645,-51.09417866,54.02961486,0.253950951
231.0051253,4.946304883,-47.80554069,49.97100003,0.333275181
232.0336721,5.229814512,-44.91941737,46.0791776,0.42154593
